table_name,column_name
emails,address
emails,category
emails,created_at
emails,id
emails,merchant_id
emails,message_id
emails,old_id
emails,publication_id
emails,receiver_id
emails,receiver_type
emails,sent_at
emails,updated_at
merchants,id
merchants,organization_id
publications,created_at
publications,entries_count
publications,id
publications,is_completed
publications,merchant_id
publications,source_type
publications,source_uuid
publications,updated_at
sms,category
sms,created_at
sms,id
sms,merchant_id
sms,message_id
sms,phone_number
sms,publication_id
sms,receiver_id
sms,receiver_type
sms,segments
sms,sent_at
sms,updated_at
