table_name,column_name
conversations,created_at
conversations,id
conversations,last_message_id
conversations,merchant_id
conversations,updated_at
conversation_senders,conversation_id
conversation_senders,id
conversation_senders,read_at
conversation_senders,sender_id
conversation_senders,sender_type
group_senders,created_at
group_senders,group_id
group_senders,group_type
group_senders,id
group_senders,merchant_id
group_senders,sender_id
group_senders,sender_type
group_senders,updated_at
merchant_senders,created_at
merchant_senders,id
merchant_senders,merchant_account_id
merchant_senders,merchant_id
merchant_senders,updated_at
messages,content
messages,conversation_id
messages,created_at
messages,id
messages,sender_id
messages,sender_type
messages,updated_at
participants,conversation_id
participants,created_at
participants,group_id
participants,group_type
participants,id
participants,updated_at
