BillingCity,BillingCountry,BillingPostalCode,BillingState,BillingStreet,CreatedById,CreatedDate,CurrencyIsoCode,Id,Industry,IsDeleted,LastActivityDate,LastModifiedById,LastModifiedDate,Merchant_Happiness__c,Name,NumberOfEmployees,OwnerId,ParentId,Phone,Rating,RecordTypeId,Type,Website,bAccountRisk__c,bActive__c,bIsPartner__c,dCRMScore__c,dCustomerScore__c,dInventoryScore__c,dKeyAccountId__c,dShopId__c,dTotalActivityScore__c,dTractionScore__c,dateDateCustomerImport__c,dateDebtCollectionInitiated__c,dateInternalUse__c,dateScall__c,dateTrialEnd__c,dateTrialStart__c,dateWidgetIn__c,dtActivationDate__c,dtCRNumberOfCustomersImported__c,dtOnboardingDate__c,plCreditworthiness__c,plCustomerDataInfo__c,plSubcategory__c,refActiveSubscription__c,strCreditScore__c,strMerchantUUID__c,object_type,urlLinkToSuccessStory__c
London,GB,E10 7DU,,464 Lea Bridge Road,005b0000004D20fAAC,2016-07-11 07:19:28,GBP,001b000003RE251AAD,Beauty,False,2016-07-27,005b0000002emPXAAY,2016-09-13 13:48:35,very unhappy,Acacia Beauty Bar,,005b0000003ZZXUAA4,001b000003MxhU1AAJ,+44 2034175190,,012b0000000DhedAAC,Customer,http://www.acaciaonline.co.uk/,True,False,False,6.33333301544,6.0,8.69121456146,49016.0,52614.0,4.66,1.82250010967,2016-07-15,,,,,,2016-07-14,2016-07-15,,2016-07-15,,Customer Import,,a2Lb00000027yv6EAA,,F7710FF0-008B-415F-8E6B-0C58810DE6B9,Account,
Aarau,CH,5000,Aargau,Kasinostrasse 19,005b00000030rqrAAA,2015-10-12 13:38:16,CHF,001b000001YZHQWAA5,Craft,False,2016-09-02,005b0000003jP7kAAE,2016-09-13 13:49:08,rather unhappy,Homekey & Bodenwerkstatt,,005b0000003jP7kAAE,,+41 764110604,AA,012b0000000DhedAAC,,www.bodenwerkstatt.ch & www.homekey.ch,False,False,False,0.189274445176,5.18000030518,9.16750049591,41971.0,45120.0,2.62595519125,0.293375402689,2015-12-10,,,2015-12-21,,,2015-11-04,2015-10-22,,,,Customer Import,,a2Lb00000004LsmEAE,,2B22A353-9354-4842-A40C-064ADE800854,Account,
Dübendorf,CH,8600,Zürich,Neugutstr. 66,005b0000001NkjjAAC,2014-06-15 10:00:00,CHF,001b000000WgL68AAF,Wellness,False,2016-09-02,005b0000003ZePVAA0,2016-09-13 13:50:05,rather unhappy,Casa Vital,,005b0000002maf5AAA,,+41 448200022,A,012b0000000DhedAAC,Customer,www.casa-vital.ch,False,False,False,7.0,8.50000095367,8.09585762024,28265.0,31089.0,8.41,9.13750076294,2014-10-13,,,2014-10-23,,,2014-12-03,2014-10-10,,2014-07-15,,Customer Import,Massage,a2Lb00000000DQjEAM,,9B373734-8A9C-451B-B22A-E427945C392A,Account,
Basel,CH,4051,,Steinenschanze 4,005b0000001PfbyAAC,2015-03-26 18:57:28,CHF,001b000000m5jOfAAI,Wellness,False,2016-07-14,005b0000003jP7BAAU,2016-09-13 13:50:55,,Beauty Rosalinda Bauer,,005b0000002maf5AAA,,+41 791048298,A,012b0000000DhedAAC,,www.rlindabeauty.ch,False,False,False,6.33333301544,7.5,7.85771417618,33417.0,36365.0,7.87,8.91250038147,,,,2016-01-13,,,2015-12-15,2015-12-10,,2016-01-05,,No Customer Data,Massage,a2Lb00000004O0GEAU,,A6FE3F4F-0375-4CD5-833F-57F4E1EBED47,Account,
Milano,IT,20129,Area Milano,Via Ausonio 6,005b0000004CtuyAAC,2016-06-20 09:39:44,EUR,001b000003ObRj6AAF,Health,False,2016-09-13,005b0000003Yw8VAAS,2016-09-13 13:51:46,rather happy,Cacioppo dr.ssa Roberta,10.0,005b00000045aF4AAI,,+39 3475311297,A,012b0000000DhedAAC,Customer,www.psicologia-milano.it,False,False,False,0.0,0.369230777025,7.14328575134,49032.0,52637.0,3.43,6.5,,,,,,,2016-09-06,,,,,No Customer Data,Psychotherapy,a2Lb00000027z0UEAQ,,67055E0B-3DF8-4413-9AF5-E6C3F3B854D6,Account,
Gütersloh,DE,33330,Raum Ruhrgebiet,Friedrich-Ebert-Str. 44,005b0000003BsBsAAK,2016-08-16 12:41:55,EUR,001b000003U0PXYAA3,Piercing & Tattoo,False,2016-09-02,005b00000030tDIAAY,2016-09-13 13:52:17,rather happy,Unique Style,,005b0000003ZiHVAA0,,052 412334551,C-AA,012b0000000DhedAAC,Customer,www.unique-style-gt.de,False,False,False,0.0,3.08000016212,6.71492862701,49239.0,53000.0,2.61,2.53333330154,,,2016-09-02,2016-09-12,,,,,,,good,No Customer Data,Tattoo,a2Lb0000002T0B0EAK,2.4,DE0E42E3-BD1F-43F8-B66E-A153ACE5558C,Account,
Fubine AL,IT,15043,,Via Pietro Longo  7,005b0000003LDKiAAO,2015-11-25 09:25:51,EUR,001b000002NHlhlAAD,Beauty,False,2016-09-12,005b0000002emPXAAY,2016-09-13 13:53:46,rather happy,Kigelia Bosy & Spirit,,005b00000045aF4AAI,,+393318379250,A,012b0000000DhedAAC,,,True,False,False,0.0,6.74000024796,9.16750049591,45578.0,48824.0,3.02405877113,0.213271617889,2016-01-29,,2015-12-14,2016-01-29,,,,2015-12-15,,2016-01-04,,Customer Import,Beauty Salon,a2Lb00000004NnVEAU,,0C80404A-6177-4320-AF4B-1A61B46D1852,Account,
Leipzig,DE,04347,Raum Leipzig,Gorkistraße 115,005b0000003BsBsAAK,2016-08-01 15:53:07,EUR,001b000003TEnnJAAT,Beauty,False,2016-09-27,005b0000003A315AAC,2016-09-13 13:53:53,,Bromand Kosmetik,,005b0000003YkPZAA0,,034 12330271,A,012b0000000DhedAAC,Customer,,False,False,False,0.0,6.0,7.97678565979,49169.0,52905.0,2.97,0.935000061989,2016-09-01,,,2016-08-29,,,2016-08-18,2016-08-10,,2016-08-12,good,,Beauty Salon,a2Lb0000002SzPfEAK,2.9,915CF978-A84B-4672-AE99-A48AC0EB1D35,Account,
Milano,IT,20124,Area Milano,Via Melchiorre Gioia 55,005b0000004CtuyAAC,2016-06-27 15:15:09,EUR,001b000003RC1qJAAT,Vehicles,False,2016-09-13,005b0000003Yw8VAAS,2016-09-13 13:55:08,rather happy,Autorimessa Rosales,,005b00000045aF4AAI,,+39 0267100313,A,012b0000000DhedAAC,Customer,,False,False,False,0.0,3.29999995232,3.91989016533,49044.0,52651.0,3.65,5.66666650772,,,,,,,2016-09-09,2016-07-19,,2016-09-01,,No Customer Data,Car Care,a2Lb00000027zClEAI,,1814AAA1-6AD8-450B-B895-F2A84E571D2A,Account,
Zürich,CH,8048,Zürich,Badenerstrasse 745,005b0000000vDNRAA2,2013-12-20 10:22:08,CHF,001b000000Q7CD3AAN,Beauty,False,,005b0000002hG2NAAU,2016-09-13 13:57:05,,Beauty & Hair,,005b0000001dUGDAA2,,+41 797189196,A,012b0000000DhedAAC,Customer,www.beautyandhair.ch,False,False,False,,,,,,,,,,,,,,,,,,,,Facial Treatment,,,,Account,
Uzwil,CH,9240,Sankt Gallen,Bahnhofstrasse 62,005b0000002PRFjAAO,2015-09-07 14:39:54,CHF,001b000001MVVZIAA5,Vehicles,False,2016-09-13,005b0000003ZePVAA0,2016-09-13 13:58:51,rather unhappy,Bahnhofgarage Uzwil,,005b0000002maf5AAA,,+41 719526020,AA,012b0000000DhedAAC,,www.bahnhofgarageuzwil.ch,False,False,False,5.0,6.0,6.05370903015,39872.0,43008.0,3.91,1.25,,,,2015-11-17,,,2015-10-27,2015-10-24,,,,No Customer Data,Car Care,a2Lb00000004Lu4EAE,,2969EDDD-D224-4B94-87EE-7D01E1DC1F19,Account,
Düsseldorf,DE,40470,,Münsterstr. 351,005b0000003a5VBAAY,2016-08-15 09:30:15,EUR,001b000003U0EoAAAV,Beauty,False,2016-09-13,005b0000003a9UlAAI,2016-09-13 14:04:15,very happy,Royal Beauty Lounge,,005b0000002m8lKAAQ,,021 129363267,AA,012b0000000DhedAAC,Customer,www.royal-beauty-lounge.de,False,False,False,5.0,6.0,8.21492862701,49281.0,53050.0,7.02,8.5,2016-08-30,,,2016-09-13,,,2016-08-31,2016-08-30,,2016-08-31,good,Customer Import,Beauty Salon,a2Lb00000001QRTEA2,2.8,50BA4027-3F08-459C-B0A6-5C1857DB605C,Account,
Hamburg,DE,21079,Raum Hamburg,Reeseberg 30,005b0000001QEdSAAW,2014-09-02 10:47:49,EUR,001b000000bY1nEAAS,Beauty,False,2016-09-13,005b0000003ZiHVAA0,2016-09-13 13:59:46,very happy,PinkRabbit,,005b0000003ZiHVAA0,,040 69277148,A,012b0000000DhedAAC,Customer,www.pinkrabbit.eu,False,False,False,7.0,8.50000095367,7.96161556244,27680.0,30482.0,7.81,7.66250038147,2014-09-22,,,,,,2014-12-03,2014-09-13,,2014-10-03,good,Customer Import,,a2Lb00000000CDOEA2,2.8,72A883D9-0F2A-4A9E-98A9-4BBF4F980341,Account,
Rheineck,CH,9492,Sankt Gallen,Hauptstr. 67,005b00000039WmcAAE,2015-12-03 14:17:23,CHF,001b000002NK5VvAAL,Piercing & Tattoo,False,2016-09-09,005b0000003Yw8VAAS,2016-09-13 14:08:39,rather happy,Beautiful Skin,,005b0000002maf5AAA,,+41 792903425,A,012b0000000DhedAAC,,http://beautiful-skin.ch,False,False,False,1.3389121294,5.03999996185,9.16750049591,46216.0,49474.0,2.9827249527,0.715481221676,,2016-06-01,,2016-01-04,,,2015-12-22,2015-12-19,,2016-01-08,,No Customer Data,Tattoo,a2Lb00000004O1TEAU,,ABFB253F-612A-4517-A761-4F4DBA2DA2C9,Account,
Madrid,ES,28036,Area Madrid,Calle Santo Domingo de Silos 8,005b00000045JWmAAM,2016-09-13 13:09:15,EUR,001b000003Ucq1iAAB,Restaurants,False,2016-09-20,005b0000002l2LiAAI,2016-09-13 14:09:07,,NÜÜGA,,005b0000002f0jgAAA,,+34 915635338,A,012b0000000DhedAAC,,www.nuuga.es,False,False,False,,,,,,,,,,,,,,,,,,,,Spanish,,,,Account,
,ES,,,,005b0000002f0lXAAQ,2016-09-13 13:27:18,EUR,001b000003UcqBxAAJ,IT Service,False,2016-09-19,005b0000002l2LiAAI,2016-09-13 14:09:07,,comprar-tpv.com,,005b0000002f0lXAAQ,,,,012b0000000DffCAAS,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,Account,
Seon,CH,5703,Aargau,Birren 6,005b0000001QAr5AAG,2016-09-13 13:33:11,CHF,001b000003UcqG9AAJ,Vehicles,False,2016-09-23,005b0000002l2LiAAI,2016-09-13 14:09:07,,Pneu-Huus Fokke,,005b0000003LteVAAS,,+41 627754646,A,012b0000000DhedAAC,,www.fokke.ch,False,False,False,,,,,,,,,,,,,,,,,,,,Tyre Change,,,,Account,
Düsseldorf,DE,40210,Raum Düsseldorf - Solingen,Grupellostr. 20a,005b0000003a5W4AAI,2016-09-13 13:39:25,EUR,001b000003UcqLbAAJ,Hairdresser,False,2016-09-21,005b0000002l2LiAAI,2016-09-13 14:09:07,,Rourou,,005b0000001zG6sAAE,,021 11752533,A,012b0000000DhedAAC,,www.rourou.de,False,False,False,,,,,,,,,,,,,,,,,,,,Haircut,,,,Account,
Berlin,DE,12439,Raum Berlin,Hasselwerder Str. 22,005b00000020cwaAAA,2016-09-13 13:40:30,EUR,001b000003UcqM0AAJ,Restaurants,False,2016-09-27,005b0000002l2LiAAI,2016-09-13 14:09:07,,Die Küchengeister,,005b0000002marpAAA,,03 054487859,A,012b0000000DhedAAC,,www.kuechengeister.info,False,False,False,,,,,,,,,,,,,,,,,,,,International,,,,Account,
,ES,,,,005b0000002f0lXAAQ,2016-09-13 13:42:21,EUR,001b000003UcqOnAAJ,Real Estate,False,,005b0000002l2LiAAI,2016-09-13 14:09:07,,Retail Real Estate Services,,005b0000002f0lXAAQ,,,,012b0000000DffCAAS,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,Account,
Düsseldorf,DE,40210,Raum Ruhrgebiet,Worninger Platz 18,005b0000003a5VBAAY,2016-09-13 13:48:32,EUR,001b000003UcqS1AAJ,Beauty,False,2016-10-05,005b0000002l2LiAAI,2016-09-13 14:09:07,,Signature Hair Concept,,005b0000004CxlgAAC,,0211-363959,AA,012b0000000DhedAAC,Potential Customer,,False,False,False,,,,,,,,,,,,,,,,,,,,Beauty Salon,,,,Account,
